datum,produkt,volym,belopp
2017-07-09 18:45,Diesel,100.00,"1,645.00"
2017-07-09 18:41,Diesel,60.79,"1,000.00"
2017-07-09 18:16,Diesel,15.45,254.15
2017-07-09 18:09,95-oktan,14.78,246.09
2017-07-09 08:53,Diesel,24.32,400.06
2017-07-09 08:25,Diesel,50.97,838.46
2017-07-08 22:53,95-oktan,10.87,180.99
2017-07-08 19:50,95-oktan,42.05,700.13
2017-07-08 19:44,95-oktan,12.02,200.13
2017-07-08 19:11,95-oktan,18.02,300.03
2017-07-08 08:21,95-oktan,100.00,"1,665.00"
2017-07-08 08:16,95-oktan,100.00,"1,665.00"
2017-07-06 18:36,95-oktan,18.02,300.03
2017-07-05 20:51,95-oktan,12.02,200.13
2017-07-05 18:25,95-oktan,30.03,500.00
2017-07-05 07:09,Diesel,9.46,155.62
2017-07-04 20:21,95-oktan,20.12,335.00
2017-07-04 20:17,Diesel,25.41,417.99
2017-07-03 22:00,95-oktan,4.63,76.16
2017-07-01 19:31,95-oktan,91.19,"1,500.08"
2017-07-01 18:25,95-oktan,2.86,47.05
2017-07-01 18:23,95-oktan,6.08,100.02
2017-07-01 17:33,95-oktan,11.46,188.52
2017-07-01 17:27,95-oktan,41.56,683.66
2017-07-01 16:50,95-oktan,60.79,"1,000.00"
2017-07-01 16:35,95-oktan,42.56,700.11
2017-07-01 09:34,95-oktan,17.06,280.64
2017-07-01 09:14,95-oktan,17.24,283.60
2017-07-01 09:11,95-oktan,0.02,0.33
2017-07-01 08:47,Diesel,14.77,240.01
2017-07-01 08:45,Diesel,12.31,200.04
2017-06-30 19:37,95-oktan,60.67,998.02
2017-06-30 18:29,95-oktan,100.00,"1,645.00"
2017-06-30 18:24,95-oktan,100.00,"1,645.00"
2017-06-30 16:54,95-oktan,60.79,"1,000.00"
2017-06-29 16:20,Diesel,43.08,700.05
2017-06-29 16:08,95-oktan,6.97,114.66
2017-06-29 16:07,Diesel,0.00,0.00
2017-06-29 16:01,95-oktan,2.02,33.23
2017-06-29 16:00,95-oktan,18.24,300.05
2017-06-28 21:44,95-oktan,30.40,500.08
2017-06-28 17:29,95-oktan,46.01,756.86
2017-06-27 20:36,95-oktan,4.01,65.96
2017-06-26 08:26,Diesel,12.31,200.04
2017-06-25 18:05,95-oktan,60.79,"1,000.00"
2017-06-25 16:37,Diesel,30.77,500.01
2017-06-24 18:51,95-oktan,11.02,181.28
2017-06-24 17:48,95-oktan,60.79,"1,000.00"
2017-06-24 17:08,95-oktan,42.56,700.11
2017-06-24 16:18,95-oktan,26.72,439.54
2017-06-24 15:02,95-oktan,42.56,700.11
2017-06-24 12:36,95-oktan,92.00,"1,513.40"
2017-06-24 09:47,95-oktan,100.00,"1,645.00"
2017-06-24 09:37,95-oktan,100.00,"1,645.00"
2017-06-23 22:23,95-oktan,30.40,500.08
2017-06-23 20:41,Diesel,18.47,300.14
2017-06-23 19:14,95-oktan,6.08,100.02
2017-06-23 19:11,95-oktan,5.15,84.72
2017-06-23 15:17,95-oktan,12.16,200.03
2017-06-23 15:16,95-oktan,0.00,0.00
2017-06-23 10:02,95-oktan,4.84,79.62
2017-06-22 22:23,95-oktan,30.40,500.08
2017-06-22 21:07,95-oktan,12.16,200.03
2017-06-22 19:11,Diesel,56.29,914.71
2017-06-22 17:43,95-oktan,27.48,452.05
2017-06-22 17:35,95-oktan,18.24,300.05
2017-06-22 17:31,95-oktan,36.48,600.10
2017-06-22 16:10,95-oktan,6.08,100.02
2017-06-22 14:37,Diesel,92.31,"1,500.04"
2017-06-22 13:41,Diesel,51.53,837.36
2017-06-22 13:20,95-oktan,21.02,345.78
2017-06-22 12:52,95-oktan,60.79,"1,000.00"
2017-06-22 12:41,Diesel,43.08,700.05
2017-06-21 20:40,95-oktan,54.72,900.14
2017-06-21 18:05,95-oktan,12.16,200.03
2017-06-21 17:50,95-oktan,6.25,102.81
2017-06-21 17:48,95-oktan,12.16,200.03
2017-06-21 17:47,95-oktan,12.16,200.03
2017-06-21 17:41,95-oktan,10.34,170.09
2017-06-21 15:43,Diesel,43.08,700.05
2017-06-21 15:39,Diesel,100.00,"1,625.00"
2017-06-21 15:34,Diesel,61.54,"1,000.02"
2017-06-21 14:15,95-oktan,30.40,500.08
2017-06-21 14:02,Diesel,30.77,500.01
2017-06-21 13:52,Diesel,30.77,500.01
2017-06-21 12:54,95-oktan,7.08,116.47
2017-06-21 10:07,95-oktan,42.56,700.11
2017-06-21 09:50,Diesel,100.00,"1,625.00"
2017-06-21 08:38,Diesel,22.02,357.82
2017-06-21 08:29,Diesel,19.39,315.09
